Year: 2015,Month: 5,Day: 7
20,115,195,432,148
21,79,158,284,79
22,51,70,183,53
23,29,45,93,23

Year: 2015,Month: 8,Day: 26
,EB,NB,SB,WB
0,8,13,28,13
1,7,16,40,3
2,6,11,32,4
3,2,40,16,2
4,7,122,19,8
5,16,247,48,14
6,22,421,103,31
7,57,562,165,71
8,92,433,257,54
9,84,404,243,70
10,97,418,282,93
11,119,400,371,99
12,119,427,410,110
13,121,404,428,104
14,156,383,556,110
15,165,455,563,143
16,199,431,630,150
17,203,437,713,169
18,191,390,627,191
19,141,281,494,147
20,119,205,395,106
21,78,143,316,86
22,41,82,186,56
23,33,37,98,25

Year: 2015,Month: 8,Day: 27
,EB,NB,SB,WB
0,9,12,34,9
1,6,14,29,8
2,6,16,28,7
3,4,35,17,6
4,12,127,12,9
5,17,250,43,18
6,30,450,107,41
7,49,561,193,61
8,79,464,245,56
9,84,354,251,67
10,94,373,288,85
11,122,426,358,103
12,118,455,481,116
13,137,458,441,100
14,131,454,501,112
15,174,415,644,124
16,184,404,616,165
17,232,463,679,179
18,181,426,661,178
19,141,302,542,137
20,135,218,398,102
21,84,156,357,102
22,56,88,174,47
23,30,37,85,36

Year: 2015,Month: 8,Day: 28
,EB,NB,SB,WB
0,16,12,45,10
1,12,9,38,5
2,9,23,18,7
3,8,28,24,2
4,5,114,11,7
5,15,233,48,10
6,30,386,88,37
7,54,495,177,53
8,78,398,208,60
9,93,386,245,64
10,117,426,290,67
11,98,460,396,91
12,117,470,433,137
13,128,435,467,112
14,135,440,501,133
15,176,427,603,161
16,181,455,637,175
17,221,451,692,179
18,167,444,690,173
19,121,304,528,131
20,114,224,382,121
21,90,145,310,91
22,59,126,194,54
23,42,63,154,31

Year: 2015,Month: 8,Day: 29
,EB,NB,SB,WB
0,20,28,65,18
1,22,24,57,12
2,9,23,47,7
3,4,20,24,4
4,6,38,18,7
5,7,58,27,6
6,14,104,40,10
7,33,189,75,22
8,73,257,147,42
9,76,389,191,81
10,124,535,307,101
11,120,542,409,119
12,185,548,606,185
13,184,495,633,216
14,134,287,380,87
21,10,24,35,12
22,70,92,188,55
23,35,73,126,39

Year: 2015,Month: 8,Day: 30
,EB,NB,SB,WB
0,20,25,42,10
1,15,19,51,8
2,13,19,31,14
3,4,15,26,5
4,4,25,16,4
5,6,42,15,3
6,11,56,24,8
7,29,101,48,16
8,48,184,133,22
9,61,344,167,55
10,100,445,266,70
11,95,443,308,96
12,136,468,458,133
13,134,476,482,119
14,141,390,489,115
15,147,387,454,120
16,124,367,443,132
17,114,372,455,100
18,116,280,434,110
19,105,221,341,110
20,75,172,299,86
21,42,116,188,56
22,36,77,125,40
23,23,47,65,23

Year: 2015,Month: 8,Day: 31
,EB,NB,SB,WB
0,11,21,30,4
1,7,17,24,4
2,4,15,14,6
3,5,34,14,5
4,10,148,19,5
5,13,251,55,14
6,36,449,103,39
7,62,549,184,59
8,99,456,232,70
9,87,386,254,91
10,91,436,321,104
11,123,459,381,109
12,138,464,407,116
13,136,452,440,102
14,150,463,570,156
15,168,422,639,132
16,180,405,685,191
17,195,462,744,191
18,179,376,746,209
19,121,265,456,127
20,102,184,365,119
21,67,125,235,79
22,38,79,134,35
23,22,51,78,21

Year: 2015,Month: 9,Day: 1
,EB,NB,SB,WB
0,12,11,45,3
1,12,18,36,8
2,9,17,18,11
3,7,40,16,5
4,11,146,28,2
5,22,274,48,15
6,31,465,106,47
7,60,563,203,75
8,88,425,228,52
9,93,370,251,59
10,97,429,271,65
11,93,412,362,95
12,132,450,417,81
13,131,439,521,103
14,148,465,573,106
15,142,431,611,149
16,197,428,703,133
17,194,432,748,196
18,151,386,667,188
19,142,279,581,155
20,90,176,367,128
21,48,119,285,80
22,43,66,134,30
23,30,33,81,26

Year: 2015,Month: 9,Day: 2
,EB,NB,SB,WB
0,9,12,30,10
1,10,19,37,4
2,13,15,20,10
3,2,42,11,3
4,14,148,16,6
5,13,266,40,11
6,25,508,105,42
7,59,533,190,72
8,104,431,204,47
9,70,381,250,50
10,95,407,255,88
11,100,389,350,83
12,142,455,393,100
13,131,422,423,84
14,143,396,549,114
15,151,442,602,135
16,185,443,673,174
17,192,516,682,198
18,181,430,724,190
19,130,297,512,150
20,103,215,411,106
21,86,127,317,78
22,37,87,150,43
23,33,50,99,26

Year: 2015,Month: 9,Day: 3
,EB,NB,SB,WB
0,15,21,25,14
1,10,16,42,10
2,2,15,26,5
3,5,45,15,6
4,12,148,20,8
5,23,262,55,16
6,32,510,103,45
7,65,590,170,72
8,99,435,209,55
9,88,399,250,69
10,95,443,305,72
11,91,406,392,93
12,149,464,421,112
13,143,449,465,109
14,125,420,522,111
15,184,406,564,112
16,226,452,723,167
17,222,486,739,215
18,196,422,741,193
19,113,251,538,155
20,98,219,364,129
21,70,126,254,80
22,62,77,163,56
23,38,54,134,33

Year: 2015,Month: 9,Day: 4
,EB,NB,SB,WB
0,9,19,60,14
1,12,22,37,5
2,8,14,29,7
3,6,42,19,5
4,10,125,18,6
5,23,208,50,11
6,27,391,90,28
7,65,487,189,50
8,75,405,240,50
9,84,408,268,84
10,92,470,343,93
11,115,448,397,94
12,132,457,520,112
13,156,479,547,123
14,159,506,592,146
15,163,442,687,170
16,173,466,742,199
17,183,478,779,190
18,158,426,622,177
19,142,347,496,130
20,91,224,385,91
21,57,189,303,73
22,69,89,285,74
23,42,62,185,34

Year: 2015,Month: 9,Day: 5
,EB,NB,SB,WB
0,17,27,61,15
1,21,29,52,13
2,10,15,30,6
3,4,18,10,7
4,5,30,20,10
5,13,63,18,8
6,15,114,39,9
7,33,148,104,27
8,85,258,175,48
9,95,382,202,73
10,104,508,308,97
11,120,620,522,127
12,119,543,472,141
13,123,455,490,132
14,141,421,536,114
15,149,453,554,128
16,139,428,504,130
17,124,398,476,116
18,108,367,451,116
19,119,256,335,78
20,72,213,354,92
21,68,153,215,62
22,66,117,162,65
23,37,71,123,42

Year: 2015,Month: 9,Day: 6
,EB,NB,SB,WB
0,9,22,49,19
1,16,15,44,14
2,8,15,37,8
3,5,12,26,5
4,3,16,20,3
5,8,37,32,2
6,14,62,30,6
7,28,108,54,14
8,50,179,104,30
9,48,324,141,34
10,71,392,215,73
11,106,460,329,71
12,134,450,448,147
13,118,401,447,117
14,116,399,463,124
15,132,412,472,107
16,138,392,455,108
17,121,322,481,116
18,91,297,416,110
19,87,226,333,98
20,70,174,250,68
21,73,143,189,62
22,38,85,126,38
23,39,52,85,29

Year: 2015,Month: 9,Day: 7
,EB,NB,SB,WB
0,8,16,36,10
1,12,19,33,9
2,6,20,24,10
3,3,18,14,6
4,6,22,17,4
5,6,41,21,4
6,22,94,39,8
7,17,116,85,17
8,46,148,121,30
9,55,283,166,63
10,80,357,248,71
11,98,445,332,97
12,111,438,383,118
13,126,462,461,113
14,125,476,473,131
15,132,429,515,140
16,127,371,485,145
17,108,335,404,143
18,89,276,353,130
19,113,239,334,124
20,78,162,292,92
21,58,105,192,63
22,30,67,101,34
23,19,42,68,21

Year: 2015,Month: 9,Day: 8
,EB,NB,SB,WB
0,5,8,32,4
1,6,14,24,2
2,4,16,16,6
3,4,39,15,5
4,4,132,9,2
5,19,271,43,13
6,31,465,122,43
7,106,817,280,163
8,162,590,306,113
9,92,466,265,93
10,90,405,277,80
11,97,392,356,84
12,113,422,451,107
13,128,407,483,119
14,147,450,535,179
15,186,496,723,157
16,202,458,668,201
17,210,470,728,192
18,197,416,686,170
19,144,281,505,146
20,104,196,480,126
21,60,135,233,95
22,32,58,117,33
23,20,35,89,20

Year: 2015,Month: 9,Day: 9
,EB,NB,SB,WB
0,11,9,29,6
1,8,17,39,5
2,8,15,22,8
3,8,39,21,4
4,7,148,13,3
5,20,261,50,16
6,40,494,134,42
7,106,757,269,157
8,127,533,305,103
9,98,423,229,77
10,89,425,288,74
11,120,372,330,84
12,107,345,402,99
13,110,399,446,112
14,160,422,507,143
15,192,465,648,188
16,194,457,689,191
17,212,498,705,202
18,187,412,737,146
19,135,306,550,104
20,117,157,484,129
21,76,113,324,70
22,50,83,148,35
23,19,42,99,28

Year: 2015,Month: 9,Day: 10
,EB,NB,SB,WB
0,8,13,40,9
1,9,17,34,6
2,7,15,23,7
3,6,37,20,5
4,7,148,20,6
5,17,280,47,15
6,29,509,129,35
7,107,777,255,153
8,122,543,295,93
9,88,428,252,83
10,89,395,274,82
11,105,355,368,79
12,113,443,441,97
13,143,454,460,108
14,165,470,587,140
15,197,492,660,183
16,192,432,686,204
17,205,520,705,215
18,171,453,652,182
19,168,283,575,150
20,116,202,488,128
21,70,131,303,76
22,46,69,125,36
23,21,30,94,23

Year: 2015,Month: 9,Day: 11
,EB,NB,SB,WB
0,12,13,27,10
1,13,23,34,9
2,5,18,28,5
3,4,32,17,2
4,8,121,22,7
5,15,262,50,15
6,35,463,141,34
7,120,797,232,142
8,127,588,299,94
9,114,535,258,86
10,93,459,260,110
11,119,405,322,98
12,128,417,429,97
13,133,371,503,109
14,169,453,583,170
15,181,483,671,177
16,172,451,695,205
17,205,463,729,179
18,176,402,610,178
19,117,288,462,120
20,102,199,412,105
21,96,165,359,86
22,78,96,306,70
23,57,68,246,56

Year: 2015,Month: 9,Day: 12
,EB,NB,SB,WB
0,27,26,67,18
1,16,23,68,11
2,10,22,40,6
3,2,22,28,6
4,9,39,21,8
5,19,68,21,11
6,16,162,35,9
7,48,232,141,36
8,91,381,147,62
9,109,490,245,97
10,133,523,319,127
11,141,542,368,126
12,147,568,446,176
13,161,491,452,135
14,179,467,468,129
15,136,393,524,166
16,174,442,510,136
17,150,437,496,139
18,105,348,412,122
19,104,317,431,123
20,102,221,356,96
21,63,178,318,84
22,67,93,276,63
23,38,71,243,44

Year: 2015,Month: 9,Day: 13
,EB,NB,SB,WB
0,20,31,68,13
1,15,28,58,9
2,10,25,48,5
3,4,19,24,6
4,8,20,11,7
5,5,41,27,3
6,11,71,36,11
7,36,144,69,15
8,65,272,124,48
9,69,444,235,65
10,105,390,321,115
11,112,374,292,91
12,110,368,340,141
13,100,352,347,100
14,135,509,446,128
15,126,379,450,125
16,135,384,423,126
17,123,340,436,160
18,127,289,438,130
19,100,278,349,103
20,79,151,352,83
21,48,117,205,44
22,35,73,150,25
23,18,42,94,19

Year: 2015,Month: 9,Day: 14
,EB,NB,SB,WB
0,7,8,34,5
1,6,13,18,5
2,5,16,15,5
3,4,35,12,5
4,7,139,20,2
5,16,274,38,16
6,26,464,129,42
7,75,580,176,78
8,114,596,296,118
9,116,508,289,115
10,97,432,293,101
11,93,400,320,103
12,122,392,375,100
13,105,405,399,117
14,142,396,530,150
15,198,449,644,186
16,184,429,630,182
17,209,415,656,172
18,157,389,659,147
19,131,253,489,119
20,92,180,358,88
21,57,117,284,80
22,41,78,215,41
23,27,37,124,22

Year: 2015,Month: 9,Day: 15
,EB,NB,SB,WB
0,7,11,25,3
1,9,16,28,7
2,3,21,25,5
3,6,36,20,3
4,5,139,16,3
5,17,269,42,13
6,29,513,154,40
7,113,743,249,155
8,121,586,289,103
9,92,423,240,86
10,98,383,273,89
11,111,368,359,116
12,127,439,427,100
13,127,368,411,78
14,162,457,513,156
15,214,467,626,186
16,182,466,637,207
17,212,488,704,185
18,195,379,655,169
19,120,282,513,148
20,108,159,463,119
21,80,123,256,72
22,60,77,214,32
23,33,33,125,28

Year: 2015,Month: 9,Day: 16
,EB,NB,SB,WB
0,12,16,26,6
1,8,11,41,6
2,5,13,23,9
3,2,36,12,1
4,7,132,15,5
5,18,256,51,14
6,29,523,147,54
7,106,784,238,150
8,118,589,298,96
9,99,414,253,84
10,115,381,279,89
11,133,444,444,141
12,147,531,457,153
13,139,452,399,107
14,138,407,465,115
15,166,442,529,110
16,174,447,628,150
17,191,463,674,186
18,175,385,688,165
19,130,252,538,120
20,101,183,478,104
21,97,110,357,69
22,50,67,226,38
23,21,32,106,21

Year: 2015,Month: 9,Day: 17
,EB,NB,SB,WB
0,12,16,24,7
1,7,13,29,9
2,6,15,21,4
3,5,37,11,4
4,6,150,13,6
5,21,261,51,20
6,40,541,137,46
7,104,734,258,157
8,127,526,255,97
9,83,405,228,84
10,101,372,258,68
11,84,430,360,100
12,111,434,386,84
13,125,413,426,102
14,161,452,524,155
15,170,495,616,166
16,173,465,639,169
17,196,509,710,198
18,184,391,660,161
19,124,282,553,131
20,108,187,468,120
21,75,137,339,80
22,50,78,209,40
23,33,49,99,23

Year: 2015,Month: 9,Day: 18
,EB,NB,SB,WB
0,9,9,35,2
1,12,14,25,11
2,7,12,25,4
3,4,28,17,8
4,8,126,18,5
5,12,247,49,13
6,25,473,134,40
7,120,720,262,121
8,129,534,263,85
9,94,422,244,111
10,95,454,259,72
11,123,458,384,96
12,123,409,431,111
13,129,425,464,111
14,161,496,597,160
15,189,487,623,158
16,177,456,684,175
17,190,448,657,205
18,185,421,580,161
19,140,309,535,108
20,93,202,419,91
21,75,144,350,77
22,64,104,315,44
23,38,55,265,30

Year: 2015,Month: 9,Day: 19
,EB,NB,SB,WB
0,18,23,74,12
1,19,22,56,11
2,7,17,47,6
3,2,24,21,5
4,3,33,23,6
5,9,69,39,8
6,15,151,41,15
7,52,214,107,29
8,75,358,148,58
9,107,516,217,90
10,129,539,374,100
11,136,545,381,132
12,139,609,431,132
13,146,518,464,119
14,117,441,479,118
15,138,407,443,128
16,130,444,475,134
17,157,425,525,100
18,141,363,512,120
19,110,314,408,123
20,78,181,351,90
21,73,151,287,79
22,52,116,268,62
23,37,78,224,36

Year: 2015,Month: 9,Day: 20
,EB,NB,SB,WB
0,21,26,66,11
1,22,22,66,12
2,9,21,43,8
3,6,20,24,6
4,3,33,25,3
5,8,42,16,5
6,11,70,35,7
7,21,116,57,19
8,60,227,104,34
9,68,465,167,52
10,88,474,231,84
11,112,502,383,107
12,139,494,436,173
13,139,444,419,145
14,118,446,468,141
15,139,400,479,138
16,150,364,559,149
17,149,335,475,146
18,73,214,357,67
19,67,195,291,61
20,47,136,219,57
21,87,209,268,73
22,34,79,166,40
23,20,35,114,15

Year: 2015,Month: 9,Day: 21
,EB,NB,SB,WB
0,3,12,28,10
1,6,14,9,4
2,4,16,14,4
3,3,39,14,1
4,4,137,17,2
5,13,262,46,13
6,34,469,111,36
7,69,617,216,68
8,110,590,293,136
9,129,479,278,119
10,99,442,299,98
11,97,385,372,71
12,120,385,392,111
13,108,426,438,99
14,168,444,558,155
15,179,471,587,179
16,189,436,624,159
17,221,449,650,191
18,162,381,696,162
19,119,309,481,113
20,98,156,461,95
21,66,117,340,67
22,41,81,191,25
23,31,35,104,27

Year: 2015,Month: 9,Day: 22
,EB,NB,SB,WB
0,9,16,25,2
1,6,9,23,7
2,4,20,17,7
3,3,37,15,4
4,9,147,15,3
5,8,272,42,15
6,36,529,134,37
7,104,785,270,160
8,118,585,278,102
9,93,436,247,99
10,87,361,267,78
11,109,384,330,88
12,115,420,379,101
13,132,382,418,122
14,142,416,508,145
15,184,474,617,188
16,212,441,612,160
17,223,484,691,183
18,223,416,681,159
19,139,277,528,142
20,104,169,480,120
21,72,116,292,71
22,37,75,212,39
23,36,45,114,24

Year: 2015,Month: 9,Day: 23
,EB,NB,SB,WB
0,9,13,26,13
1,7,9,34,8
2,5,13,19,12
3,6,36,11,2
4,9,135,21,5
5,17,252,46,13
6,35,502,135,43
7,95,781,260,142
8,119,540,282,86
9,103,423,244,91
10,88,435,278,72
11,117,386,374,98
12,135,413,367,89
13,106,378,439,116
14,131,432,535,148
15,176,474,600,166
16,191,458,608,152
17,189,456,632,195
18,166,451,591,179
19,135,247,508,142
20,120,174,491,126
21,61,109,325,56
22,39,73,187,36
23,38,37,155,22

Year: 2015,Month: 9,Day: 24
,EB,NB,SB,WB
0,10,5,27,8
1,5,8,29,2
2,5,17,16,4
3,4,41,19,2
4,6,140,13,4
5,14,277,59,15
6,35,489,132,37
7,96,770,253,133
8,117,559,276,98
9,82,429,242,86
10,92,412,271,71
11,106,365,329,98
12,139,429,401,102
13,109,385,414,111
14,167,415,563,133
15,151,512,582,159
16,208,460,612,174
17,225,518,680,178
18,188,393,654,160
19,134,301,581,132
20,93,173,439,82
21,80,111,341,71
22,40,72,208,48
23,38,36,156,27

Year: 2015,Month: 9,Day: 25
,EB,NB,SB,WB
0,15,16,28,5
1,8,20,35,8
2,4,19,18,8
3,0,40,17,2
4,7,124,16,4
5,18,257,43,18
6,29,499,148,35
7,100,779,268,150
8,122,602,272,95
9,92,418,270,82
10,89,418,255,86
11,98,423,358,79
12,112,458,412,113
13,129,407,461,104
14,179,444,554,129
15,190,554,642,166
16,211,490,670,180
17,192,540,690,165
18,183,496,585,168
19,119,286,510,129
20,89,189,396,93
21,57,154,378,92
22,64,115,322,43
23,53,72,258,40

Year: 2015,Month: 9,Day: 26
,EB,NB,SB,WB
0,20,22,63,13
1,16,23,47,11
2,12,22,30,8
3,8,24,20,9
4,5,34,13,4
5,10,53,24,3
6,16,134,46,12
7,31,196,88,30
8,71,339,182,52
9,114,455,239,78
10,120,581,320,113
11,151,575,407,137
12,128,582,445,127
13,134,484,459,152
14,129,481,506,140
15,167,453,500,149
16,186,443,488,142
17,148,468,500,143
18,159,370,502,140
19,136,297,426,119
20,82,196,422,107
21,65,176,346,80
22,62,129,283,55
23,49,65,226,41

Year: 2015,Month: 9,Day: 27
,EB,NB,SB,WB
0,20,27,72,17
1,20,21,46,7
2,8,16,36,6
3,5,18,20,3
4,4,28,16,6
5,6,48,23,6
6,8,72,29,6
7,28,144,62,15
8,58,251,105,32
9,67,448,162,65
10,66,481,256,105
11,100,465,343,103
12,137,445,479,149
13,124,410,490,130
14,118,332,390,95
15,104,338,373,102
16,96,397,349,110
17,122,396,462,138
18,143,313,423,121
19,116,197,426,113
20,79,171,320,101
21,45,106,197,70
22,36,90,184,34
23,14,28,117,16

Year: 2015,Month: 9,Day: 28
,EB,NB,SB,WB
0,5,9,31,4
1,6,12,30,4
2,8,21,18,8
3,1,31,7,0
4,10,132,14,5
5,15,267,40,9
6,36,455,118,27
7,75,598,234,79
8,107,585,283,126
9,125,489,293,88
10,82,400,300,94
11,101,352,361,78
12,146,394,421,95
13,111,363,399,92
14,139,411,565,166
15,165,464,671,157
16,187,409,662,189
17,209,433,687,193
18,145,388,640,182
19,138,255,493,139
20,87,150,351,77
21,71,106,267,51
22,40,67,137,39
23,20,32,65,14

Year: 2015,Month: 9,Day: 29
,EB,NB,SB,WB
0,11,16,19,3
1,9,11,20,9
2,5,18,17,7
3,2,36,16,3
4,5,136,10,3
5,14,281,40,10
6,32,544,145,41
7,89,793,272,141
8,122,579,293,116
9,92,429,255,76
10,79,363,277,85
11,112,354,337,78
12,130,437,437,123
13,111,397,436,99
14,159,416,550,165
15,191,457,607,178
16,217,418,631,198
17,228,475,656,180
18,222,425,658,175
19,136,298,552,135
20,101,180,419,122
21,54,119,286,69
22,38,69,130,38
23,15,32,72,14

Year: 2015,Month: 9,Day: 30
,EB,NB,SB,WB
0,9,10,38,3
1,8,12,17,11
2,6,16,18,8
3,3,35,13,1
4,12,141,16,6
5,14,273,34,7
6,31,523,131,42
7,101,779,246,158
8,112,621,274,105
9,85,417,251,108
10,96,369,277,87
11,95,368,381,99
12,140,408,415,122
13,119,385,415,102
14,137,423,540,154
15,196,455,604,163
16,199,461,693,168
17,241,478,672,219
18,199,432,739,222
19,148,266,591,134
20,92,167,457,112
21,75,102,283,65
22,41,75,123,51
23,25,31,82,22

Year: 2015,Month: 10,Day: 1
,EB,NB,SB,WB
0,8,17,25,4
1,13,13,28,11
2,3,14,12,4
3,1,37,14,1
4,16,141,16,9
5,14,276,56,17
6,33,532,136,42
7,92,801,244,145
8,115,569,288,90
9,89,443,250,94
10,100,372,310,86
11,95,372,361,95
12,114,455,421,104
13,133,409,519,128
14,159,456,561,131
15,193,512,665,176
16,186,458,673,179
17,219,475,723,197
18,198,403,768,169
19,157,269,666,143
20,111,157,424,110
21,85,151,315,85
22,48,101,180,40
23,22,43,100,24

Year: 2015,Month: 10,Day: 2
,EB,NB,SB,WB
0,10,14,27,10
1,6,11,32,10
2,7,17,23,4
3,3,34,12,3
4,7,137,16,3
5,13,241,48,15
6,38,471,128,46
7,90,739,286,133
8,122,566,263,110
9,96,457,320,75
10,91,403,303,68
11,95,430,342,81
12,136,459,478,94
13,119,430,535,116
14,136,510,612,146
15,183,498,687,204
16,182,514,731,214
17,207,549,701,204
18,186,538,692,189
19,108,326,579,121
20,73,179,374,82
21,81,163,310,66
22,56,155,425,72
23,31,64,221,52

Year: 2015,Month: 10,Day: 3
,EB,NB,SB,WB
0,14,20,57,17
1,15,26,53,11
2,13,15,31,7
3,3,27,30,1
4,9,31,16,5
5,5,54,21,4
6,23,117,36,16
7,51,168,104,27
8,59,306,143,39
9,100,449,212,76
10,122,524,300,126
11,122,541,435,151
12,152,599,481,150
13,156,531,579,164
14,161,496,587,160
15,170,465,579,152
16,164,497,571,159
17,162,528,538,140
18,145,376,531,152
19,134,307,416,110
20,88,183,362,75
21,60,140,235,72
22,45,105,193,51
23,40,61,150,36

Year: 2015,Month: 10,Day: 4
,EB,NB,SB,WB
0,16,33,54,13
1,16,28,53,14
2,13,20,36,19
3,6,18,22,9
4,4,24,29,4
5,5,44,13,4
6,9,76,30,5
7,26,113,66,12
8,62,201,108,39
9,63,365,158,59
10,115,419,252,89
11,113,428,355,87
12,128,486,407,136
13,128,455,460,127
14,119,386,481,121
15,121,393,490,115
16,148,401,457,122
17,150,363,442,147
18,124,262,412,137
19,101,214,330,110
20,72,131,231,69
21,37,108,162,41
22,33,66,118,35
23,22,30,65,16

Year: 2015,Month: 10,Day: 5
,EB,NB,SB,WB
0,4,12,21,6
1,7,19,22,2
2,3,15,14,4
3,0,26,15,1
4,8,145,18,2
5,17,283,48,13
6,33,476,114,35
7,60,614,223,82
8,118,613,289,136
9,123,492,286,97
10,83,425,313,96
11,109,379,343,90
12,141,390,407,95
13,102,394,509,103
14,133,432,521,152
15,166,473,640,173
16,203,447,657,189
17,189,457,650,178
18,164,314,582,136
19,131,230,448,85
20,90,141,276,71
21,85,131,298,66
22,36,58,134,46
23,17,33,77,14

Year: 2015,Month: 10,Day: 6
,EB,NB,SB,WB
0,6,13,25,5
1,7,13,25,7
2,9,16,19,9
3,1,30,11,3
4,9,132,20,5
5,16,274,40,20
6,30,524,140,37
7,90,761,263,163
8,136,602,262,107
9,107,434,249,93
10,101,389,266,72
11,128,366,314,89
12,95,388,406,120
13,117,381,418,75
14,141,402,569,163
15,192,454,623,189
16,191,466,634,160
17,232,513,693,180
18,168,431,684,170
19,117,295,518,134
20,98,143,415,103
21,76,134,291,65
22,41,78,138,36
23,16,32,76,11

Year: 2015,Month: 10,Day: 7
,EB,NB,SB,WB
0,7,8,29,6
1,12,12,27,5
2,6,14,14,5
3,2,28,16,4
4,10,135,14,3
5,10,265,43,10
6,38,536,139,37
7,85,794,255,160
8,121,580,272,106
9,94,495,277,91
10,79,327,230,59
11,100,364,333,68
12,120,358,400,95
13,99,365,432,91
14,152,411,525,146
15,201,426,614,145
16,183,468,683,173
17,195,440,706,192
18,181,421,683,159
19,143,223,520,150
20,106,172,422,96
21,57,104,276,53
22,39,70,132,19
23,25,42,94,11

Year: 2015,Month: 10,Day: 8
,EB,NB,SB,WB
0,14,11,28,8
1,8,20,20,6
2,9,13,15,7
3,3,37,19,4
4,8,146,18,3
5,11,260,44,12
6,33,519,132,33
7,64,599,192,87
8,85,464,235,55
9,75,409,213,69
10,110,366,260,72
11,98,395,331,64
12,118,421,386,83
13,124,392,455,97
14,140,438,509,109
15,174,415,618,130
16,187,412,668,148
17,187,499,649,188
18,205,404,687,152
19,153,277,553,146
20,100,177,384,100
21,71,125,310,67
22,52,58,164,43
23,31,67,97,28

Year: 2015,Month: 10,Day: 9
,EB,NB,SB,WB
0,11,18,41,10
1,8,11,34,12
2,7,18,18,6
3,5,35,25,4
4,5,141,21,3
5,12,227,49,8
6,31,434,96,17
7,55,537,175,59
8,79,458,186,59
9,94,411,227,57
10,106,430,278,80
11,114,443,366,95
12,126,439,454,91
13,148,543,485,114
14,154,453,518,117
15,163,431,667,133
16,191,454,697,190
17,189,457,751,162
18,159,455,655,188
19,113,335,469,129
20,91,179,363,83
21,70,145,277,84
22,74,127,308,52
23,47,61,169,38

Year: 2015,Month: 10,Day: 10
,EB,NB,SB,WB
0,24,34,57,14
1,20,24,62,16
2,11,18,52,9
3,9,22,12,7
4,7,38,21,5
5,9,55,25,6
6,16,106,40,12
7,35,202,83,33
8,71,262,138,57
9,89,411,190,81
10,111,556,294,85
11,118,558,431,125
12,132,554,491,128
13,150,507,502,143
14,159,489,589,153
15,136,439,632,140
16,135,457,569,154
17,134,401,489,125
18,113,344,468,125
19,93,247,348,91
20,81,199,299,76
21,59,130,231,75
22,61,91,204,47
23,36,66,144,43

Year: 2015,Month: 10,Day: 11
,EB,NB,SB,WB
0,22,26,62,25
1,17,21,56,15
2,18,20,35,8
3,3,18,21,5
4,4,29,15,5
5,5,34,20,3
6,12,60,34,9
7,28,115,57,9
8,70,260,107,47
9,73,396,222,68
10,96,363,282,72
11,116,349,305,80
12,103,316,309,129
13,115,379,386,105
14,130,516,477,132
15,140,367,471,104
16,117,371,429,126
17,144,373,435,139
18,134,310,397,143
19,74,218,307,85
20,68,140,236,72
21,33,92,146,35
22,25,71,90,25
23,20,36,65,21

Year: 2015,Month: 10,Day: 12
,EB,NB,SB,WB
0,7,9,12,2
