Year: 2015,Month: 5,Day: 7
6,15,101,45,10
7,23,167,84,13
8,58,253,128,41
9,76,370,195,67
10,90,505,284,77
11,106,527,400,115
12,128,551,443,123
13,122,516,467,110
14,144,460,493,116
15,127,475,560,143
16,157,435,515,129
17,129,392,454,117
18,110,309,400,102
19,68,249,353,82
20,89,152,272,82
21,55,146,196,62
22,49,84,158,40
23,25,54,128,33

Year: 2015,Month: 11,Day: 29
,EB,NB,SB,WB
0,15,26,47,12
1,11,21,37,14
2,7,20,40,6
3,3,18,20,3
4,4,16,18,5
5,3,44,11,3
6,11,55,26,7
7,26,91,48,10
8,51,244,109,29
9,52,424,148,65
10,91,458,247,71
11,99,406,328,79
12,134,424,439,174
13,195,609,616,171
14,116,363,435,139
15,96,273,373,116
16,85,260,349,92
17,102,363,377,120
18,102,267,355,106
19,67,155,253,65
20,54,89,229,66
21,38,87,96,35
22,31,57,82,15
23,14,31,52,14

Year: 2015,Month: 11,Day: 30
,EB,NB,SB,WB
0,6,7,17,4
1,2,17,13,5
2,2,19,16,5
3,6,31,13,3
4,10,145,20,5
5,14,301,45,16
6,39,447,132,29
7,61,556,185,78
8,103,622,320,112
9,118,498,246,107
10,80,399,295,80
11,100,411,371,88
12,126,423,483,121
13,103,492,485,112
14,137,466,607,163
15,181,485,637,176
16,181,459,691,178
17,182,429,656,171
18,137,302,636,134
19,115,212,485,102
20,89,124,290,83
21,67,98,247,50
22,28,75,118,27
23,20,37,72,11

Year: 2015,Month: 12,Day: 1
,EB,NB,SB,WB
0,4,7,28,7
1,8,10,30,8
2,6,13,12,3
3,2,45,17,6
4,6,176,17,6
5,19,298,38,15
6,49,519,157,44
7,86,732,240,150
8,123,535,278,100
9,114,439,312,95
10,91,389,296,79
11,89,428,354,114
12,141,473,484,118
13,133,449,483,103
14,170,456,631,166
15,184,459,642,181
16,207,465,730,212
17,193,410,711,175
18,155,303,631,133
19,108,264,531,116
20,100,150,362,93
21,70,106,296,74
22,34,64,127,41
23,18,36,73,20

Year: 2015,Month: 12,Day: 2
,EB,NB,SB,WB
0,5,12,26,7
1,6,12,24,9
2,4,19,17,5
3,6,34,17,0
4,3,155,13,9
5,16,313,45,12
6,35,499,166,52
7,90,715,243,159
8,119,572,279,102
9,114,457,238,84
10,105,401,280,74
11,89,427,363,91
12,139,428,464,104
13,103,415,459,114
14,140,433,548,170
15,181,493,667,171
16,191,433,678,179
17,186,417,664,156
18,175,430,602,135
19,111,239,394,127
20,97,160,458,131
21,73,105,272,78
22,34,59,148,37
23,22,33,89,21

Year: 2015,Month: 12,Day: 3
,EB,NB,SB,WB
0,8,6,30,6
1,8,15,42,9
2,5,18,15,7
3,4,53,15,5
4,10,168,21,13
5,18,299,51,17
6,45,519,159,49
7,92,731,239,156
8,118,583,286,114
9,93,463,254,66
10,67,454,277,87
11,103,409,358,99
12,136,417,415,127
13,118,412,501,109
14,171,446,579,205
15,170,534,698,170
16,207,447,681,176
17,201,465,636,174
18,173,340,624,151
19,114,211,462,99
20,99,130,394,87
21,77,121,273,72
22,50,77,170,35
23,12,33,111,24

Year: 2015,Month: 12,Day: 4
,EB,NB,SB,WB
0,13,16,27,7
1,10,14,27,6
2,5,14,23,10
3,3,40,19,4
4,5,154,20,5
5,19,279,43,13
6,32,491,148,46
7,109,715,235,152
8,114,565,270,132
9,86,419,262,86
10,107,491,299,90
11,128,480,368,120
12,129,485,496,126
13,146,434,531,119
14,160,507,660,190
15,193,532,742,206
16,209,515,655,174
17,222,500,674,167
18,165,391,609,169
19,129,293,526,109
20,95,192,345,116
21,105,147,369,88
22,50,114,268,72
23,42,68,187,36

Year: 2015,Month: 12,Day: 5
,EB,NB,SB,WB
0,16,18,60,18
1,16,29,57,12
2,13,21,45,6
3,7,22,18,6
4,4,44,18,5
5,11,69,26,1
6,17,145,55,15
7,44,198,112,23
8,78,370,153,63
9,73,470,245,83
10,116,592,353,126
11,143,588,443,149
12,166,565,505,129
13,165,558,537,131
14,152,475,549,131
15,145,545,588,167
16,143,553,586,140
17,136,470,539,134
18,116,434,562,150
19,100,242,394,97
20,82,179,300,79
21,70,147,366,84
22,53,95,261,54
23,40,58,167,28

Year: 2015,Month: 12,Day: 6
,EB,NB,SB,WB
0,18,18,43,16
1,20,17,46,15
2,8,21,43,11
3,6,24,20,6
4,5,22,14,6
5,7,48,15,2
6,6,73,25,8
7,25,128,74,16
8,53,234,115,31
9,65,524,174,90
10,90,456,298,97
11,90,379,301,89
12,143,365,519,147
13,157,536,406,127
14,145,486,519,145
15,135,386,539,141
16,127,372,480,125
17,124,358,478,104
18,93,248,356,94
19,81,179,317,74
20,69,125,268,68
21,48,114,153,35
22,29,57,114,20
23,15,33,68,13

Year: 2015,Month: 12,Day: 7
,EB,NB,SB,WB
0,7,11,10,5
1,4,17,20,3
2,2,11,13,3
3,6,40,10,7
4,5,168,21,2
5,17,287,39,17
6,27,456,119,39
7,68,553,197,81
8,96,584,305,131
9,131,528,272,99
10,100,432,312,83
11,107,440,385,91
12,119,428,429,104
13,112,418,491,97
14,136,479,575,157
15,158,457,650,175
16,201,410,649,177
17,214,403,678,166
18,169,380,591,140
19,99,223,476,131
20,93,134,310,88
21,72,136,260,70
22,30,64,124,31
23,13,31,86,10

Year: 2015,Month: 12,Day: 8
,EB,NB,SB,WB
0,6,13,30,7
1,6,14,24,5
2,6,24,20,5
3,4,39,23,3
4,5,173,13,4
5,13,283,44,14
6,34,509,136,60
7,93,715,240,165
8,115,602,297,106
9,85,405,244,83
10,99,402,304,64
11,118,421,355,114
12,92,431,418,82
13,94,394,431,86
14,155,419,578,126
15,150,439,577,172
16,201,371,633,173
17,178,356,616,161
18,187,377,600,130
19,98,240,486,106
20,91,129,362,117
21,77,123,236,56
22,31,69,145,44
23,23,35,99,19

Year: 2015,Month: 12,Day: 9
,EB,NB,SB,WB
0,12,12,33,2
1,8,13,28,9
2,8,15,14,4
3,3,38,11,5
4,6,166,26,8
5,16,309,42,12
6,33,517,130,38
7,81,754,234,169
8,129,612,293,110
9,93,587,270,88
10,83,446,305,90
11,144,490,430,92
12,133,505,473,115
13,134,451,512,117
14,174,468,600,166
15,194,505,679,210
16,197,452,716,198
17,178,426,711,154
18,159,341,655,159
19,120,266,496,119
20,94,146,384,94
21,78,118,295,59
22,32,69,161,44
23,25,30,108,26

Year: 2015,Month: 12,Day: 10
,EB,NB,SB,WB
0,6,13,26,7
1,12,17,28,7
2,8,19,23,10
3,3,37,13,5
4,6,180,23,7
5,15,284,43,16
6,39,545,137,52
7,75,706,255,160
8,122,577,275,118
9,99,457,272,66
10,81,449,276,78
11,86,436,377,95
12,113,414,429,96
13,110,376,531,92
14,140,479,566,147
15,194,445,617,173
16,235,427,673,169
17,174,442,682,145
18,169,377,659,141
19,102,234,510,115
20,91,174,377,101
21,73,118,285,74
22,56,87,198,43
23,22,41,107,26

Year: 2015,Month: 12,Day: 11
,EB,NB,SB,WB
0,3,15,37,11
1,12,15,37,7
2,7,14,20,11
3,6,44,19,5
4,6,144,20,7
5,12,269,47,21
6,40,473,155,40
7,92,655,280,151
8,110,602,277,93
9,94,415,262,87
10,91,454,313,87
11,96,448,415,103
12,140,524,489,93
13,139,487,537,101
14,185,506,606,166
15,199,494,722,213
16,186,472,726,207
17,226,462,735,178
18,167,437,676,184
19,123,305,528,125
20,84,182,412,78
21,63,169,327,81
22,48,108,273,57
23,41,54,185,42

Year: 2015,Month: 12,Day: 12
,EB,NB,SB,WB
0,13,21,51,18
1,13,19,56,16
2,12,19,42,6
3,11,24,24,7
4,8,53,22,7
5,6,59,15,3
6,20,122,50,15
7,34,218,109,20
8,65,318,161,60
9,83,503,213,83
10,110,609,366,90
11,114,607,488,130
12,140,618,521,122
13,129,561,565,144
14,142,581,635,162
15,120,452,680,156
16,148,482,582,136
17,121,470,569,147
18,127,400,462,97
19,86,236,366,98
20,76,199,341,80
21,72,143,266,62
22,61,135,240,78
23,61,78,192,53

Year: 2015,Month: 12,Day: 13
,EB,NB,SB,WB
0,24,34,65,23
1,20,33,71,14
2,9,19,47,15
3,1,25,32,11
4,8,26,13,5
5,10,36,23,3
6,9,67,24,8
7,21,107,63,13
8,66,233,124,31
9,65,426,177,68
10,84,423,286,96
11,90,361,300,93
12,114,339,378,121
13,138,483,416,140
14,122,483,504,135
15,150,508,567,118
16,145,425,559,147
17,148,383,473,121
18,103,326,398,108
19,91,199,335,101
20,77,142,314,95
21,48,135,180,49
22,33,71,117,28
23,15,38,74,22

Year: 2015,Month: 12,Day: 14
,EB,NB,SB,WB
0,6,15,30,11
1,4,14,26,8
2,2,19,17,2
3,4,35,16,1
4,6,168,20,6
5,12,283,44,14
6,38,458,121,43
7,72,552,203,98
8,114,590,290,132
9,127,515,280,114
10,113,473,310,95
11,97,426,361,92
12,128,462,466,101
13,127,476,457,132
14,133,479,643,161
15,214,520,672,198
16,194,475,737,198
17,216,394,776,187
18,153,368,665,153
19,106,213,514,116
20,103,152,341,96
21,56,99,245,54
22,28,62,143,31
23,18,35,86,11

Year: 2015,Month: 12,Day: 15
,EB,NB,SB,WB
0,4,12,35,10
1,6,18,34,6
2,5,23,19,4
3,3,37,12,3
4,6,171,19,5
5,14,308,56,15
6,37,496,128,43
7,80,770,263,147
8,110,605,306,96
9,126,467,278,86
10,92,427,337,77
11,105,447,360,96
12,129,439,448,93
13,131,435,528,98
14,151,468,597,155
15,181,467,734,165
16,207,508,703,191
17,187,436,713,179
18,162,356,628,165
19,126,275,561,133
20,87,167,424,93
21,84,129,313,68
22,39,77,181,39
23,25,43,98,20

Year: 2015,Month: 12,Day: 16
,EB,NB,SB,WB
0,10,5,37,7
1,11,17,38,13
2,7,22,24,5
3,4,49,20,2
4,9,151,22,5
5,15,293,45,14
6,35,522,137,40
7,88,708,265,145
8,125,558,299,104
9,92,443,262,88
10,99,438,280,72
11,105,448,396,101
12,133,513,467,104
13,115,464,549,138
14,157,505,594,152
15,204,497,699,167
16,179,502,701,213
17,246,507,700,173
18,170,397,679,167
19,123,239,580,118
20,97,159,408,103
21,68,143,304,70
22,41,68,180,42
23,18,31,114,18

Year: 2015,Month: 12,Day: 17
,EB,NB,SB,WB
0,7,15,36,8
1,12,17,32,7
2,5,14,29,6
3,5,45,18,1
4,6,166,16,5
5,18,284,37,16
6,35,511,126,52
7,88,704,263,144
8,118,618,300,98
9,83,489,276,73
10,92,479,306,88
11,105,443,413,92
12,95,491,479,109
13,109,461,453,125
14,153,498,596,136
15,165,488,707,168
16,197,458,689,192
17,166,442,562,177
18,153,357,603,153
19,107,231,549,108
20,94,161,416,102
21,79,149,330,67
22,52,99,188,40
23,33,42,139,26

Year: 2015,Month: 12,Day: 18
,EB,NB,SB,WB
0,10,16,44,16
1,10,14,44,8
2,7,16,40,11
3,10,40,29,4
4,7,139,19,6
5,17,276,44,15
6,27,458,144,36
7,93,691,235,157
8,114,618,302,96
9,87,450,259,81
10,91,505,331,84
11,100,562,433,93
12,128,489,500,113
13,135,477,594,125
14,170,519,634,177
15,182,459,669,224
16,204,496,714,201
17,219,541,695,215
18,185,453,705,155
19,124,345,524,145
20,96,231,405,103
21,78,168,337,120
22,66,103,280,59
23,45,78,208,44

Year: 2015,Month: 12,Day: 19
,EB,NB,SB,WB
0,17,22,76,20
1,15,25,61,22
2,12,26,38,16
3,10,27,30,4
4,4,44,16,6
5,11,54,25,3
6,13,117,59,14
7,37,177,93,18
8,67,341,148,53
9,98,492,234,93
10,139,591,369,104
11,171,701,505,116
12,147,664,562,165
13,146,583,626,163
14,144,540,652,179
15,142,516,713,177
16,150,537,703,195
17,171,481,678,189
18,127,404,521,144
19,88,288,399,124
20,94,204,336,101
21,71,155,314,95
22,61,114,265,65
23,53,96,183,52

Year: 2015,Month: 12,Day: 20
,EB,NB,SB,WB
0,16,28,84,16
1,16,30,62,18
2,11,30,43,10
3,7,27,29,7
4,9,32,13,3
5,12,43,18,4
6,9,65,40,5
7,22,136,51,18
8,61,257,111,37
9,71,440,201,46
10,117,557,296,103
11,136,501,397,123
12,160,485,531,190
13,135,428,527,158
14,109,372,399,113
15,91,325,422,103
16,133,439,415,141
17,124,421,534,122
18,115,326,453,121
19,78,191,355,87
20,76,152,253,61
21,54,99,193,52
22,33,93,155,25
23,21,52,109,25

Year: 2015,Month: 12,Day: 21
,EB,NB,SB,WB
0,5,21,34,8
1,3,22,30,10
2,7,31,20,5
3,8,42,14,5
4,10,138,23,4
5,13,265,42,18
6,24,384,86,26
7,51,499,166,55
8,77,408,206,54
9,97,454,242,65
10,97,517,319,68
11,96,550,405,95
12,127,556,478,108
13,146,534,597,117
14,126,467,656,137
15,142,447,657,143
16,160,423,715,154
17,185,383,728,162
18,130,312,642,136
19,104,273,527,114
20,86,157,398,105
21,55,123,270,62
22,34,82,159,35
23,21,59,126,21

Year: 2015,Month: 12,Day: 22
,EB,NB,SB,WB
0,11,31,42,13
1,10,23,40,11
2,5,21,16,9
3,2,35,20,2
4,6,151,21,5
5,13,255,40,17
6,23,415,84,27
7,58,489,161,51
8,63,426,225,43
9,71,454,225,70
10,120,514,345,91
11,128,588,477,94
12,150,583,540,114
13,136,595,565,139
14,168,494,617,129
15,148,457,668,156
16,198,436,770,194
17,172,464,720,154
18,141,410,688,145
19,124,279,564,117
20,109,217,458,102
21,61,130,314,100
22,49,103,203,66
23,40,47,146,38

Year: 2015,Month: 12,Day: 23
,EB,NB,SB,WB
0,11,12,48,19
1,10,21,43,14
2,8,16,22,10
3,6,42,26,2
4,6,137,33,6
5,19,242,36,15
6,21,378,97,38
7,54,420,153,62
8,95,411,209,59
9,83,490,253,82
10,112,587,302,95
11,115,583,462,96
12,145,600,508,140
13,142,576,541,150
14,174,494,569,153
15,199,451,714,157
16,201,453,702,177
17,176,426,763,171
18,155,343,695,177
19,144,294,466,108
20,92,225,427,109
21,77,175,324,76
22,60,126,240,53
23,40,52,175,42

Year: 2015,Month: 12,Day: 24
,EB,NB,SB,WB
0,11,20,56,23
1,15,24,62,11
2,8,21,36,12
3,7,34,22,4
4,2,66,20,4
5,15,131,28,12
6,23,237,69,21
7,33,293,114,32
8,66,315,172,37
9,119,420,272,67
10,123,517,363,121
11,153,538,497,132
12,176,546,618,187
13,171,520,781,187
14,157,497,747,209
15,197,492,703,210
16,195,483,630,162
17,119,348,503,168
18,121,326,398,140
19,93,238,310,94
20,114,250,260,99
21,90,242,297,86
22,79,154,248,69
23,59,92,140,30

Year: 2015,Month: 12,Day: 25
,EB,NB,SB,WB
0,16,29,35,15
1,15,25,48,11
2,6,19,30,7
3,4,13,11,1
4,6,16,24,8
5,5,18,17,2
6,8,27,26,9
7,10,41,51,21
8,48,99,83,36
9,49,155,126,59
10,83,206,201,80
11,90,231,223,92
12,115,309,263,97
13,110,314,316,84
14,123,271,302,110
15,105,272,275,116
16,90,239,253,77
17,85,253,220,87
18,73,237,205,69
19,114,224,208,90
20,71,225,231,71
21,71,183,201,56
22,51,127,123,45
23,30,73,91,25

Year: 2015,Month: 12,Day: 26
,EB,NB,SB,WB
0,11,20,39,20
1,14,20,38,11
2,6,11,20,3
3,5,18,21,2
4,5,23,14,1
5,8,48,14,5
6,11,95,33,3
7,26,140,74,19
8,48,196,122,42
9,77,342,166,70
10,105,436,260,80
11,115,489,350,110
12,117,523,395,97
13,125,489,450,102
14,111,473,561,141
15,131,492,545,129
16,144,404,520,126
17,116,384,486,138
18,63,287,401,96
19,75,216,321,91
20,55,160,241,58
21,60,142,251,63
22,46,102,156,45
23,31,59,115,36

Year: 2015,Month: 12,Day: 27
,EB,NB,SB,WB
0,10,30,50,19
1,15,28,71,11
2,11,17,40,11
3,5,16,21,7
4,6,28,23,2
5,4,38,9,5
6,11,60,33,5
7,16,75,52,9
8,47,211,78,27
9,59,404,139,57
10,80,449,241,71
11,93,411,308,85
12,146,406,413,129
13,106,381,453,126
14,76,293,340,70
15,96,254,321,88
16,90,282,328,98
17,120,385,438,119
18,88,226,369,102
19,87,233,246,86
20,79,198,242,63
21,57,99,150,60
22,34,75,109,30
23,24,36,96,19

Year: 2015,Month: 12,Day: 28
,EB,NB,SB,WB
0,14,22,24,8
1,9,17,18,8
2,8,27,19,5
3,8,32,16,7
4,6,106,18,0
5,11,215,37,10
6,19,350,82,25
7,58,413,151,51
8,58,369,185,39
9,91,370,213,74
10,87,420,252,69
11,102,435,333,98
12,122,498,415,115
13,121,477,490,125
14,131,453,532,123
15,162,420,627,145
16,170,395,737,179
17,172,389,752,158
18,140,322,578,125
19,80,227,357,91
20,70,127,272,77
21,58,114,262,54
22,41,83,143,39
23,32,39,91,21

Year: 2015,Month: 12,Day: 29
,EB,NB,SB,WB
0,11,15,34,9
1,14,19,33,9
2,5,20,23,7
3,3,36,22,2
4,6,107,18,4
5,10,229,45,13
6,20,367,79,24
7,51,437,132,49
8,61,395,209,45
9,90,372,219,69
10,95,455,271,75
11,114,455,357,97
12,139,452,418,102
13,145,481,463,105
14,133,458,554,129
15,157,451,594,145
16,180,411,708,161
17,192,411,650,150
18,127,334,623,138
19,93,231,433,114
20,85,170,326,73
21,55,121,246,70
22,39,68,152,39
23,19,41,101,33

Year: 2015,Month: 12,Day: 30
,EB,NB,SB,WB
0,12,20,31,10
1,13,19,34,12
2,10,23,26,7
3,6,33,19,4
4,5,99,21,2
5,15,211,37,10
6,16,387,82,25
7,67,447,145,59
8,60,405,208,47
9,65,430,207,66
10,99,412,272,75
11,116,508,392,97
12,118,482,408,91
13,147,527,486,115
14,138,457,561,122
15,156,439,584,156
16,180,429,642,186
17,179,439,715,176
18,157,373,665,146
19,104,237,476,113
20,77,143,329,79
21,58,137,303,61
22,36,72,174,41
23,34,48,92,30

Year: 2015,Month: 12,Day: 31
,EB,NB,SB,WB
0,10,23,30,16
1,14,20,42,13
2,4,15,23,9
3,8,37,26,5
4,8,87,14,4
5,10,185,37,8
6,16,292,58,12
7,47,351,120,48
8,54,303,173,33
9,74,379,235,46
10,83,472,269,87
11,120,521,371,114
12,155,576,545,121
13,160,551,603,161
14,160,523,744,203
15,178,482,759,168
16,170,493,749,224
17,187,383,666,220
18,137,386,477,155
19,114,270,370,133
20,83,197,258,71
21,68,175,224,77
22,44,95,153,51
23,32,69,104,29

Year: 2016,Month: 1,Day: 1
,EB,NB,SB,WB
0,57,94,125,44
1,42,84,152,45
2,44,45,94,22
3,15,28,50,7
4,11,26,31,6
5,7,31,25,7
6,15,55,28,12
7,10,58,33,8
8,26,96,85,19
9,38,192,117,31
10,45,249,162,59
11,82,297,218,73
12,89,364,272,97
13,83,372,322,79
14,91,349,377,111
15,99,356,374,119
16,104,329,402,140
17,92,287,378,101
18,84,269,356,99
19,76,179,282,69
20,62,141,228,70
21,42,117,152,51
22,26,76,120,42
23,27,63,103,29

Year: 2016,Month: 1,Day: 2
,EB,NB,SB,WB
0,19,27,30,18
1,7,14,34,9
2,7,4,33,6
3,2,26,17,4
4,5,33,19,4
5,8,34,15,2
6,8,107,24,5
7,20,137,78,13
8,45,210,144,35
9,60,329,156,36
10,85,435,271,75
11,122,501,371,105
12,113,534,444,110
13,137,527,484,115
14,124,504,519,136
15,140,505,621,138
16,151,488,562,137
17,119,451,537,104
18,93,315,444,131
19,77,226,339,79
20,73,169,265,59
21,47,131,227,48
22,41,101,197,53
23,26,47,105,33

Year: 2016,Month: 1,Day: 3
,EB,NB,SB,WB
0,18,20,40,15
1,18,28,48,17
2,18,25,41,10
3,5,16,22,7
4,6,20,14,6
5,7,37,18,1
6,4,51,25,5
7,26,97,57,13
8,44,161,100,26
9,57,318,153,29
10,81,420,220,80
11,99,521,323,98
12,128,430,396,144
13,115,281,481,147
14,83,235,352,83
15,94,218,300,128
16,87,293,282,103
17,90,312,353,121
18,69,186,271,93
19,57,132,223,61
20,48,84,162,51
21,45,74,122,25
22,26,38,86,27
23,15,29,49,17

Year: 2016,Month: 1,Day: 4
,EB,NB,SB,WB
0,4,7,20,6
1,4,15,25,5
2,4,20,18,8
3,3,30,6,5
4,9,136,13,7
5,14,247,39,14
6,22,384,101,33
7,59,483,168,56
8,78,443,251,60
9,94,538,265,107
10,100,525,318,106
11,89,392,332,105
12,114,388,416,81
13,112,383,441,89
14,150,479,600,142
15,186,489,665,159
16,199,406,684,196
17,164,400,695,179
18,172,293,559,128
19,88,241,421,108
20,69,128,329,73
21,65,97,227,46
22,28,67,123,34
23,16,36,81,14

Year: 2016,Month: 1,Day: 5
,EB,NB,SB,WB
0,9,17,32,7
1,7,13,39,8
2,3,18,18,9
3,3,29,12,4
4,6,154,21,7
5,15,294,53,12
6,25,514,147,46
7,96,740,236,143
8,119,599,291,110
9,103,455,243,82
10,88,403,260,60
11,105,394,340,86
12,121,404,414,92
13,105,411,453,103
14,145,491,552,165
15,187,495,661,180
16,175,470,641,180
17,178,404,677,170
18,175,332,660,138
19,119,211,466,143
20,83,152,361,71
21,77,106,243,63
22,40,68,151,44
23,18,38,93,24

Year: 2016,Month: 1,Day: 6
,EB,NB,SB,WB
0,4,11,29,9
1,12,17,23,3
2,4,17,16,7
3,4,36,21,2
4,7,147,23,6
5,15,256,46,10
6,34,478,159,45
7,75,773,227,151
8,124,647,270,112
9,100,441,250,97
10,87,410,271,80
11,86,367,345,89
12,125,428,428,101
13,114,421,429,112
14,147,408,530,166
15,188,462,633,188
16,202,428,679,177
17,200,435,667,167
18,165,401,621,172
19,108,222,539,113
20,87,146,404,86
21,50,105,258,58
22,41,57,142,37
23,23,35,94,15

Year: 2016,Month: 1,Day: 7
,EB,NB,SB,WB
0,9,11,30,9
1,7,15,31,11
2,1,17,23,7
3,3,40,15,4
4,12,170,19,8
5,16,281,52,16
6,28,518,151,47
7,87,740,257,146
8,111,601,275,83
9,83,422,285,79
10,92,407,268,67
11,78,387,342,74
12,104,447,449,105
13,109,405,453,95
14,162,460,576,145
15,190,440,676,167
16,193,497,656,224
17,194,425,647,178
18,170,341,627,165
19,122,220,495,125
20,89,153,349,90
21,79,111,282,71
22,43,56,156,34
23,23,40,123,18

Year: 2016,Month: 1,Day: 8
,EB,NB,SB,WB
0,12,14,30,13
1,5,16,40,6
2,3,16,16,7
3,5,40,23,4
4,7,143,17,6
5,12,281,49,11
6,24,465,143,51
7,87,730,252,155
8,118,604,290,101
9,87,443,279,84
10,80,428,285,63
11,111,439,391,75
12,119,423,432,84
13,118,479,507,104
14,151,494,562,155
15,212,441,658,218
16,188,459,703,235
17,192,467,679,162
18,168,355,611,145
19,125,258,531,109
20,94,185,323,89
21,88,173,253,87
22,52,106,197,61
23,41,64,161,41

Year: 2016,Month: 1,Day: 9
,EB,NB,SB,WB
0,12,23,53,22
1,16,16,60,10
2,12,15,37,7
3,5,26,30,5
4,6,49,19,10
5,9,65,23,6
6,11,124,42,12
7,31,183,83,22
8,68,260,161,47
9,68,435,209,56
10,117,574,292,103
11,138,559,458,133
12,137,570,505,128
13,131,573,556,160
14,119,477,620,136
15,147,480,592,173
16,155,483,622,133
17,131,457,584,135
18,100,337,453,132
19,74,225,353,86
20,69,186,269,75
21,79,135,242,75
22,51,104,199,47
23,29,65,124,37

Year: 2016,Month: 1,Day: 10
,EB,NB,SB,WB
0,20,25,51,14
1,7,26,46,3
2,11,11,40,6
3,10,22,32,6
4,3,26,23,5
5,2,38,15,5
6,12,76,30,11
7,25,105,57,10
8,52,220,121,41
9,66,410,207,66
10,86,398,270,111
11,94,308,245,72
12,74,287,291,75
13,120,425,324,118
14,134,436,422,134
15,149,415,504,174
16,106,364,476,116
17,121,329,453,115
18,112,271,374,100
19,63,191,248,89
20,67,137,227,61
21,38,98,141,32
22,29,52,82,32
23,15,32,56,19

Year: 2016,Month: 1,Day: 11
,EB,NB,SB,WB
0,3,10,10,3
1,5,13,16,6
2,0,21,19,4
3,2,31,12,2
4,4,135,16,7
5,11,278,51,13
6,21,462,129,29
7,64,578,207,87
8,101,602,275,109
9,119,528,287,90
10,87,375,297,88
11,103,368,330,71
12,111,411,400,100
13,102,440,458,94
14,156,417,537,140
15,178,481,650,176
16,176,440,681,159
17,214,429,679,185
18,188,337,626,138
19,113,218,463,136
20,77,136,274,78
21,65,115,238,51
22,27,75,123,27
23,25,30,73,15

Year: 2016,Month: 1,Day: 12
,EB,NB,SB,WB
0,7,12,28,6
1,11,17,35,9
2,3,20,29,5
3,3,35,13,3
4,9,171,18,9
5,15,267,49,11
6,26,537,149,47
7,87,756,252,152
8,108,575,309,103
9,107,419,262,74
10,84,400,259,83
11,82,385,359,100
12,106,392,430,88
13,91,388,461,86
14,136,455,510,139
15,163,434,665,170
16,202,463,633,178
17,172,423,667,164
18,171,318,593,148
19,123,260,485,148
20,86,144,366,96
21,56,95,272,53
22,31,59,125,31
23,20,37,83,25

Year: 2016,Month: 1,Day: 13
,EB,NB,SB,WB
0,11,12,33,5
1,9,13,27,7
2,6,15,16,5
3,2,44,15,6
4,6,159,13,5
5,15,312,48,15
6,27,541,142,38
7,84,759,251,166
8,120,606,312,113
9,83,463,247,82
10,72,388,248,69
11,79,367,344,86
12,102,432,428,83
13,117,399,411,114
14,129,443,577,155
15,185,458,693,173
16,184,405,664,169
17,179,444,626,162
18,162,405,626,134
19,111,223,508,103
20,82,127,373,95
21,68,107,294,59
22,32,62,137,44
23,23,31,77,15

Year: 2016,Month: 1,Day: 14
,EB,NB,SB,WB
0,3,11,22,10
1,7,15,27,8
2,4,18,24,4
3,3,38,11,4
4,5,170,20,8
5,15,280,36,17
6,27,506,137,44
7,89,732,242,157
8,119,582,308,90
9,74,463,275,84
10,97,403,238,74
11,85,417,354,89
12,36,113,97,30

